,GA,GA
,Binary,Gray
0,7441,6260
1,7467,6478
2,7440,6756
3,7467,6312
4,7467,6603
5,7467,6378
6,7393,6543
7,7440,6677
8,7451,6327
9,7441,6333
10,7456,6429
11,7467,6324
12,7436,6339
13,7441,6392
14,7467,6653
15,7467,6468
16,7434,6328
17,7467,6548
18,7467,6616
19,7440,6739
20,7456,6500
21,7467,6272
22,7467,6548
23,7467,6835
24,7451,6433
25,7441,6524
26,7434,6334
27,7467,6407
28,7441,6443
29,7467,6527
