,GA,GA
,Binary,Gray
0,12411,8224
1,12401,9528
2,12321,8240
3,12434,8591
4,12393,9630
5,12406,8743
6,12354,9037
7,12381,8762
8,12399,8897
9,12324,8716
10,12406,7759
11,12408,8533
12,12388,8963
13,12371,9153
14,12360,8361
15,12387,7271
16,12395,8751
17,12401,8787
18,12337,8849
19,12383,7703
20,12392,8391
21,12371,7792
22,12367,9213
23,12382,9149
24,12384,8399
25,12383,8350
26,12386,8800
27,12399,8595
28,12397,8797
29,12375,8838
