,GA_SBX_PM,GA_PCX_PM
,F8_10D,F8_10D
0,-119.61140153416834,-119.50783519156188
1,-119.60867310705127,-119.52279741843556
2,-119.54558629715356,-119.40683308995703
3,-119.43450112458162,-119.4499556950785
4,-119.4837081677531,-119.48333772502457
5,-119.34003272854068,-119.5845160493751
6,-119.48196997446152,-119.45295212903484
7,-119.47630385017342,-119.44071015463115
8,-119.41809282341087,-119.35859424355978
9,-119.49204362023968,-119.60885231796395
10,-119.5528088472434,-119.43896144852779
11,-119.47342471795855,-119.4550950398804
12,-119.54946489285814,-119.47823577505656
13,-119.30287181662214,-119.34910955173306
14,-119.52790065010973,-119.5224243406675
15,-119.37028962517365,-119.54336250935181
16,-119.41404109761298,-119.43333772193188
17,-119.54757451544599,-119.52449989824167
18,-119.5055847670976,-119.4740979811428
19,-119.65864587856956,-119.40672968180552
20,-119.33633545715523,-119.49443571272977
21,-119.53489282314015,-119.35290277532422
22,-119.45973329486525,-119.52782824464977
23,-119.58893214767569,-119.58280636496966
24,-119.43965784468779,-119.74494599038891
25,-119.48780569022266,-119.53943485372815
26,-119.7626996559364,-119.34937880236045
27,-119.33178259051577,-119.51501323083036
28,-119.5648576539147,-119.49793956546613
29,-119.51032210239204,-119.66171497741418
